genome_id,genome_id,source,organism,genus,species,strian,closest_placement_reference,input_file,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count,NI-siderophore,LAP,lassopeptide,terpene,RiPP-like,betalactone,NRP-metallophore.NRPS,NRPS,T3PKS,NRPS.arylpolyene,NRPS.T1PKS,opine-like-metallophore,LAP.thiopeptide,lanthipeptide-class-i,cyclic-lactone-autoinducer.lanthipeptide-class-ii,RRE-containing.lassopeptide,NRPS.T1PKS.transAT-PKS,NRPS.transAT-PKS,NRPS-like,cyclic-lactone-autoinducer,proteusin,lanthipeptide-class-ii,RRE-containing,NI-siderophore.terpene,LAP.sactipeptide.thiopeptide,NRPS.T1PKS.lanthipeptide-class-ii,NRPS.betalactone,LAP.ranthipeptide,NRP-metallophore.NRPS.betalactone,ranthipeptide.sactipeptide,NRPS.PKS-like.T3PKS.transAT-PKS,glycocin,CDPS,sactipeptide,other,epipeptide,transAT-PKS,NRPS.betalactone.transAT-PKS,NRPS.T3PKS.transAT-PKS,PKS-like,T3PKS.transAT-PKS,NRP-metallophore.NRPS.RiPP-like,T1PKS.transAT-PKS-like,T1PKS,ranthipeptide,phosphonate,lanthipeptide-class-iii,NRPS.PKS-like.transAT-PKS,LAP.terpene,NRPS.ladderane,NRPS-like.cyclic-lactone-autoinducer,arylpolyene,LAP.RRE-containing,arylpolyene.ladderane,NRPS.RRE-containing,RRE-containing.ladderane,redox-cofactor,NRPS.NRPS-like.T1PKS.transAT-PKS,NRP-metallophore.NRPS.lanthipeptide-class-iii,furan,NRPS.NRPS-like,NRPS.lanthipeptide-class-i,ladderane,lanthipeptide-class-ii.terpene,ectoine,other.phosphonate,LAP.redox-cofactor.thiopeptide,LAP.RRE-containing.cyclic-lactone-autoinducer.thiopeptide,RiPP-like.cyclic-lactone-autoinducer,RRE-containing.terpene,lanthipeptide-class-iv,nucleoside,NRPS.RiPP-like
GCA_030348785.1,GCA_030348785.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292095.1,GCA_030292095.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348565.1,GCA_030348565.1,ncbi,,,,,,,14.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324265.1,GCA_031324265.1,ncbi,,,,,,,13.0,2.0,0.0,0.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348725.1,GCA_030348725.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122965.1,GCA_030122965.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123025.1,GCA_030123025.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348245.1,GCA_030348245.1,ncbi,,,,,,,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348585.1,GCA_030348585.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123105.1,GCA_030123105.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324285.1,GCA_031324285.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123005.1,GCA_030123005.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348345.1,GCA_030348345.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123505.1,GCA_030123505.1,ncbi,,,,,,,6.0,0.0,0.0,0.0,,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123485.1,GCA_030123485.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324225.1,GCA_031324225.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348225.1,GCA_030348225.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122805.1,GCA_030122805.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123245.1,GCA_030123245.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123265.1,GCA_030123265.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292205.1,GCA_030292205.1,ncbi,,,,,,,13.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123145.1,GCA_030123145.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348835.1,GCA_030348835.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348385.1,GCA_030348385.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348825.1,GCA_030348825.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122785.1,GCA_030122785.1,ncbi,,,,,,,17.0,0.0,0.0,0.0,,,1.0,,,1.0,,4.0,,,,,,3.0,,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
GCA_031324095.1,GCA_031324095.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122765.1,GCA_030122765.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123165.1,GCA_030123165.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348325.1,GCA_030348325.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348365.1,GCA_030348365.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
GCA_030348665.1,GCA_030348665.1,ncbi,,,,,,,10.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030166975.1,GCA_030166975.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324195.1,GCA_031324195.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123325.1,GCA_030123325.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,2.0,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030176975.1,GCA_030176975.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
GCA_030348945.1,GCA_030348945.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348905.1,GCA_030348905.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
GCA_030123405.1,GCA_030123405.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324335.1,GCA_031324335.1,ncbi,,,,,,,14.0,2.0,0.0,0.0,1.0,1.0,,1.0,3.0,1.0,1.0,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123345.1,GCA_030123345.1,ncbi,,,,,,,6.0,0.0,0.0,0.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030166995.1,GCA_030166995.1,ncbi,,,,,,,13.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348625.1,GCA_030348625.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123085.1,GCA_030123085.1,ncbi,,,,,,,14.0,0.0,0.0,0.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324135.1,GCA_031324135.1,ncbi,,,,,,,15.0,2.0,0.0,0.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
GCA_030348765.1,GCA_030348765.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030316035.1,GCA_030316035.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122865.1,GCA_030122865.1,ncbi,,,,,,,14.0,0.0,0.0,0.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123045.1,GCA_030123045.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348875.1,GCA_030348875.1,ncbi,,,,,,,3.0,0.0,0.0,0.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123365.1,GCA_030123365.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
GCA_030123065.1,GCA_030123065.1,ncbi,,,,,,,6.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030291955.1,GCA_030291955.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324185.1,GCA_031324185.1,ncbi,,,,,,,11.0,1.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348255.1,GCA_030348255.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030122925.1,GCA_030122925.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324325.1,GCA_031324325.1,ncbi,,,,,,,11.0,4.0,0.0,0.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
GCA_030122845.1,GCA_030122845.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,1.0,3.0,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
GCA_030348285.1,GCA_030348285.1,ncbi,,,,,,,5.0,0.0,0.0,0.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348595.1,GCA_030348595.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030179875.1,GCA_030179875.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
GCA_030122945.1,GCA_030122945.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324165.1,GCA_031324165.1,ncbi,,,,,,,7.0,0.0,0.0,0.0,,1.0,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
GCA_030348465.1,GCA_030348465.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030167035.1,GCA_030167035.1,ncbi,,,,,,,12.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324125.1,GCA_031324125.1,ncbi,,,,,,,11.0,2.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
GCA_030348965.1,GCA_030348965.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
GCA_030122825.1,GCA_030122825.1,ncbi,,,,,,,12.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
GCA_030348675.1,GCA_030348675.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292155.1,GCA_030292155.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348305.1,GCA_030348305.1,ncbi,,,,,,,13.0,0.0,0.0,0.0,,,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
GCA_030348735.1,GCA_030348735.1,ncbi,,,,,,,10.0,0.0,0.0,0.0,,,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030167055.1,GCA_030167055.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
