fam_id_0.40,fam_type,fam_name,clusters_in_fam,mibig_ids
97,known_family,cerecidin;cerecidin A1;cerecidin A2;cerecidin A3;cerecidin A4;cerecidin A5;cerecidin A6;cerecidin A7,2,BGC0000502
98,known_family,paenilan,2,BGC0001727
99,unknown_family,u_RiPPs_99,2,
100,unknown_family,u_RiPPs_100,2,
101,unknown_family,u_RiPPs_101,2,
102,unknown_family,u_RiPPs_102,2,
103,unknown_family,u_RiPPs_103,2,
104,known_family,amyloliquecidin GF610,2,BGC0002663
105,unknown_family,u_RiPPs_105,2,
106,unknown_family,u_RiPPs_106,2,
107,unknown_family,u_RiPPs_107,2,
108,known_family,thuricin,2,BGC0000626
109,unknown_family,u_RiPPs_109,2,
110,unknown_family,u_RiPPs_110,2,
111,unknown_family,u_RiPPs_111,2,
112,unknown_family,u_RiPPs_112,2,
113,unknown_family,u_RiPPs_113,2,
114,known_family,fusaricidin B,2,BGC0001152
115,known_family,bacitracin,2,BGC0000310
116,known_family,bacillothiazol A;bacillothiazol B;bacillothiazol C;bacillothiazol D;bacillothiazol E;bacillothiazol F;bacillothiazol G;bacillothiazol H;bacillothiazol I;bacillothiazol J;bacillothiazol K;bacillothiazol L;bacillothiazol M;bacillothiazol N,2,BGC0002641
117,unknown_family,u_NRPS_117,2,
118,unknown_family,u_NRPS_118,2,
119,unknown_family,u_NRPS_119,2,
120,known_family,gramicidin,2,BGC0000367
121,unknown_family,u_PKSother_121,2,
122,unknown_family,u_PKSother_122,2,
123,unknown_family,u_Terpene_123,2,
124,unknown_family,u_Terpene_124,2,
125,unknown_family,u_Terpene_125,2,
126,unknown_family,u_PKS-NRP_Hybrids_126,2,
127,unknown_family,u_PKS-NRP_Hybrids_127,2,
128,unknown_family,u_Others_128,1,
129,unknown_family,u_Others_129,1,
130,unknown_family,u_Others_130,1,
131,unknown_family,u_Others_131,1,
132,unknown_family,u_Others_132,1,
133,unknown_family,u_Others_133,1,
134,unknown_family,u_Others_134,1,
135,unknown_family,u_Others_135,1,
136,unknown_family,u_Others_136,1,
137,unknown_family,u_Others_137,1,
138,unknown_family,u_Others_138,1,
139,unknown_family,u_Others_139,1,
140,unknown_family,u_Others_140,1,
141,unknown_family,u_Others_141,1,
142,unknown_family,u_Others_142,1,
143,unknown_family,u_Others_143,1,
144,unknown_family,u_Others_144,1,
145,unknown_family,u_Others_145,1,
146,unknown_family,u_Others_146,1,
147,unknown_family,u_Others_147,1,
148,unknown_family,u_Others_148,1,
149,unknown_family,u_Others_149,1,
150,unknown_family,u_Others_150,1,
151,unknown_family,u_Others_151,1,
152,unknown_family,u_Others_152,1,
153,unknown_family,u_Others_153,1,
154,unknown_family,u_Others_154,1,
155,unknown_family,u_Others_155,1,
156,unknown_family,u_Others_156,1,
157,unknown_family,u_Others_157,1,
158,unknown_family,u_Others_158,1,
159,unknown_family,u_Others_159,1,
160,unknown_family,u_Others_160,1,
161,unknown_family,u_Others_161,1,
162,unknown_family,u_Others_162,1,
163,unknown_family,u_Others_163,1,
164,unknown_family,u_Others_164,1,
165,unknown_family,u_Others_165,1,
166,unknown_family,u_Others_166,1,
167,unknown_family,u_Others_167,1,
168,unknown_family,u_RiPPs_168,1,
169,unknown_family,u_RiPPs_169,1,
170,unknown_family,u_RiPPs_170,1,
171,unknown_family,u_RiPPs_171,1,
172,unknown_family,u_RiPPs_172,1,
173,unknown_family,u_RiPPs_173,1,
174,unknown_family,u_RiPPs_174,1,
175,unknown_family,u_RiPPs_175,1,
176,unknown_family,u_RiPPs_176,1,
177,unknown_family,u_RiPPs_177,1,
178,unknown_family,u_RiPPs_178,1,
179,unknown_family,u_RiPPs_179,1,
180,unknown_family,u_RiPPs_180,1,
181,unknown_family,u_RiPPs_181,1,
182,unknown_family,u_RiPPs_182,1,
183,unknown_family,u_RiPPs_183,1,
184,unknown_family,u_RiPPs_184,1,
185,unknown_family,u_RiPPs_185,1,
186,unknown_family,u_RiPPs_186,1,
187,unknown_family,u_RiPPs_187,1,
188,unknown_family,u_RiPPs_188,1,
189,unknown_family,u_RiPPs_189,1,
190,unknown_family,u_RiPPs_190,1,
191,unknown_family,u_RiPPs_191,1,
192,unknown_family,u_RiPPs_192,1,
193,unknown_family,u_RiPPs_193,1,
194,unknown_family,u_RiPPs_194,1,
195,unknown_family,u_RiPPs_195,1,
196,unknown_family,u_RiPPs_196,1,
197,unknown_family,u_RiPPs_197,1,
198,unknown_family,u_RiPPs_198,1,
199,unknown_family,u_RiPPs_199,1,
200,unknown_family,u_RiPPs_200,1,
201,unknown_family,u_RiPPs_201,1,
202,unknown_family,u_RiPPs_202,1,
203,unknown_family,u_RiPPs_203,1,
204,unknown_family,u_RiPPs_204,1,
205,unknown_family,u_RiPPs_205,1,
206,unknown_family,u_RiPPs_206,1,
207,unknown_family,u_RiPPs_207,1,
208,unknown_family,u_RiPPs_208,1,
209,unknown_family,u_RiPPs_209,1,
210,unknown_family,u_RiPPs_210,1,
211,unknown_family,u_RiPPs_211,1,
212,unknown_family,u_RiPPs_212,1,
213,unknown_family,u_RiPPs_213,1,
214,unknown_family,u_RiPPs_214,1,
215,unknown_family,u_RiPPs_215,1,
216,unknown_family,u_RiPPs_216,1,
217,unknown_family,u_RiPPs_217,1,
218,unknown_family,u_RiPPs_218,1,
219,unknown_family,u_RiPPs_219,1,
220,unknown_family,u_RiPPs_220,1,
221,unknown_family,u_RiPPs_221,1,
222,unknown_family,u_RiPPs_222,1,
223,unknown_family,u_RiPPs_223,1,
224,unknown_family,u_RiPPs_224,1,
225,unknown_family,u_RiPPs_225,1,
226,unknown_family,u_RiPPs_226,1,
227,unknown_family,u_RiPPs_227,1,
228,unknown_family,u_RiPPs_228,1,
229,unknown_family,u_RiPPs_229,1,
230,unknown_family,u_RiPPs_230,1,
231,unknown_family,u_RiPPs_231,1,
232,unknown_family,u_RiPPs_232,1,
233,unknown_family,u_RiPPs_233,1,
234,unknown_family,u_RiPPs_234,1,
235,unknown_family,u_RiPPs_235,1,
236,unknown_family,u_RiPPs_236,1,
237,unknown_family,u_RiPPs_237,1,
238,unknown_family,u_RiPPs_238,1,
239,unknown_family,u_RiPPs_239,1,
240,unknown_family,u_RiPPs_240,1,
241,unknown_family,u_RiPPs_241,1,
242,unknown_family,u_RiPPs_242,1,
243,unknown_family,u_RiPPs_243,1,
244,unknown_family,u_RiPPs_244,1,
245,unknown_family,u_RiPPs_245,1,
246,unknown_family,u_RiPPs_246,1,
247,unknown_family,u_RiPPs_247,1,
248,unknown_family,u_RiPPs_248,1,
249,unknown_family,u_RiPPs_249,1,
250,unknown_family,u_RiPPs_250,1,
251,unknown_family,u_RiPPs_251,1,
252,unknown_family,u_RiPPs_252,1,
253,unknown_family,u_RiPPs_253,1,
254,unknown_family,u_RiPPs_254,1,
255,unknown_family,u_RiPPs_255,1,
256,unknown_family,u_RiPPs_256,1,
257,unknown_family,u_RiPPs_257,1,
258,unknown_family,u_RiPPs_258,1,
259,unknown_family,u_RiPPs_259,1,
260,unknown_family,u_NRPS_260,1,
261,unknown_family,u_NRPS_261,1,
262,unknown_family,u_NRPS_262,1,
263,unknown_family,u_NRPS_263,1,
264,unknown_family,u_NRPS_264,1,
265,unknown_family,u_NRPS_265,1,
266,unknown_family,u_NRPS_266,1,
267,unknown_family,u_NRPS_267,1,
268,unknown_family,u_NRPS_268,1,
269,unknown_family,u_NRPS_269,1,
270,unknown_family,u_NRPS_270,1,
271,unknown_family,u_NRPS_271,1,
272,unknown_family,u_NRPS_272,1,
273,unknown_family,u_NRPS_273,1,
274,unknown_family,u_NRPS_274,1,
275,unknown_family,u_NRPS_275,1,
276,unknown_family,u_NRPS_276,1,
277,unknown_family,u_NRPS_277,1,
278,unknown_family,u_NRPS_278,1,
279,unknown_family,u_NRPS_279,1,
280,unknown_family,u_NRPS_280,1,
281,unknown_family,u_NRPS_281,1,
282,unknown_family,u_PKSother_282,1,
283,unknown_family,u_PKSother_283,1,
284,unknown_family,u_PKSother_284,1,
285,unknown_family,u_PKSother_285,1,
286,unknown_family,u_PKSother_286,1,
287,unknown_family,u_PKSother_287,1,
288,unknown_family,u_PKSother_288,1,
289,unknown_family,u_PKSother_289,1,
290,unknown_family,u_PKSother_290,1,
291,unknown_family,u_PKSother_291,1,
292,unknown_family,u_PKSother_292,1,
293,unknown_family,u_PKSother_293,1,
294,unknown_family,u_PKSother_294,1,
295,unknown_family,u_PKSother_295,1,
296,unknown_family,u_PKSother_296,1,
297,unknown_family,u_PKSother_297,1,
298,unknown_family,u_Terpene_298,1,
299,unknown_family,u_Terpene_299,1,
300,unknown_family,u_Terpene_300,1,
301,unknown_family,u_Terpene_301,1,
302,unknown_family,u_Terpene_302,1,
303,unknown_family,u_Terpene_303,1,
304,unknown_family,u_Terpene_304,1,
305,unknown_family,u_Terpene_305,1,
306,unknown_family,u_Terpene_306,1,
307,unknown_family,u_Terpene_307,1,
308,unknown_family,u_Terpene_308,1,
309,unknown_family,u_Terpene_309,1,
310,unknown_family,u_Terpene_310,1,
311,unknown_family,u_Terpene_311,1,
312,unknown_family,u_Terpene_312,1,
313,unknown_family,u_Terpene_313,1,
314,unknown_family,u_Terpene_314,1,
315,unknown_family,u_Terpene_315,1,
316,unknown_family,u_Terpene_316,1,
317,unknown_family,u_Terpene_317,1,
318,unknown_family,u_Terpene_318,1,
319,unknown_family,u_Terpene_319,1,
320,unknown_family,u_Terpene_320,1,
321,unknown_family,u_Terpene_321,1,
322,unknown_family,u_Terpene_322,1,
323,unknown_family,u_Terpene_323,1,
324,unknown_family,u_Terpene_324,1,
325,unknown_family,u_PKS-NRP_Hybrids_325,1,
326,unknown_family,u_PKS-NRP_Hybrids_326,1,
327,unknown_family,u_PKS-NRP_Hybrids_327,1,
328,unknown_family,u_PKS-NRP_Hybrids_328,1,
329,unknown_family,u_PKS-NRP_Hybrids_329,1,
330,unknown_family,u_PKS-NRP_Hybrids_330,1,
331,unknown_family,u_PKS-NRP_Hybrids_331,1,
332,unknown_family,u_PKS-NRP_Hybrids_332,1,
333,unknown_family,u_PKS-NRP_Hybrids_333,1,
